int64_field_0,venda_id,nome_produto,data_venda,quantidade
31,14425,"Floratil 200mg/g, caixa com 6 envelopes com 1g de pó de uso oral",01-2024,
44,43693,"Cilostazol Eurofarma 100Mg, Caixa Com 30 Comprimidos",01-2024,
563,3481,Lotar 5mg + 50mg 30 Cápsulas,01-2024,
581,28189,Complexo Senna Almeida Prado 46 60 comprimidos,01-2024,
617,13897,Pioglitazona 30 Mg 30 Comprimidos Nq,01-2024,
885,18817,"Cimetidina Prati-Donaduzzi 200mg, caixa com 20 comprimidos revestidos",01-2024,
920,11533,"Desogestrel 0,075 Mg 84 Comprimidos Mel",01-2024,
998,625,"Alivium Cápsula 400mg, blíster com 3 cápsulas moles",01-2024,
1122,8041,"Cloridrato de Amiodarona Geolab 200mg, caixa com 30 comprimidos",01-2024,
1177,29929,Risperidona 2mg 30 Comprimidos Revestidos - Biolab,01-2024,
1286,17869,ZZ Sabonete Soapelle Darrow Liquido Com 140Ml,01-2024,
1357,6085,Diltiazem 60mg 50 Comprimidos Nova Quimica Genérico,01-2024,
1381,1441,"Dipirona Monoidratada Comprimido Prati-Donaduzzi 500mg, blíster com 10 comprimidos",01-2024,
1407,7069,"Diclofenaco Sódico Biosintética - Aché 50mg, caixa com 20 comprimidos revestidos",01-2024,
1485,8665,Ultibro 110mcg + 50mcg 30 Cápsulas Novartis,01-2024,
1508,33109,Olanzapina 5mg Prati Donaduzzi 30 Comprimidos,01-2024,
1519,42157,"Ultrafer 50Mg Ml, Caixa Com 1 Frasco Gotejador Com 30Ml De Solucao De Uso Oral",01-2024,
1567,33553,Carbamazepina 200 30Cp Teu,01-2024,
1670,27445,Passiflorine 20cpr,01-2024,
1726,31261,Risperidona 3Mg 30Cpr Eur,01-2024,
1744,16237,"Tylenol Sinus 500mg + 30mg, caixa com 36 comprimidos revestidos",01-2024,
1824,6361,Renitec Maleato de Enalapril 10mg 30 comprimidos,01-2024,
1845,46288,Óleo Mineral Bravir frasco com 200mL de óleo uso oral ou tópico,01-2024,
1849,11029,Azitromicina 500mg 5Comprimidos Sandoz,01-2024,
1897,7849,"Mononitrato De Isossorbida Ache 20Mg, Caixa Com 30 Comprimidos",01-2024,
1990,2761,"Desloratadina Prati-Donaduzzi 0,5Mg Ml, Caixa Com 1 Frasco Com 100Ml De Xarope + Seringa Dosadora",01-2024,
2048,29869,Codeina 30Mg Paracetamol 24Cpr Biol,01-2024,
2136,15073,"Cloridrato de Tansulosina 0,4mg EMS com 30 Comprimidos",01-2024,
2155,22381,Trinulox Creme 15g,01-2024,
2284,6553,Besilato de Anlodipino 5mg 30 Comprimidos Teuto Genérico,01-2024,
2310,30721,Bupropiona 150mg 60 Comprimidos - Eurofarma,01-2024,
2313,8905,Norfloxacino 400mg Cimed 14 Comprimidos Revestidos,01-2024,
2372,133,"Tylenol Comprimido 750Mg, Caixa Com 20 Comprimidos Revestidos",01-2024,
2433,38869,"Cicloprimogyna 2Mg +  2Mg + 0,25Mg , Caixa Com 21 Drageas",01-2024,
2452,7777,"Diclin 2mg + 0,035mg, caixa com 21 comprimidos revestidos",01-2024,
2522,17725,Annita 20 Mg Suspensao 45 Ml,01-2024,
2595,5305,Carvedilol  25Mg 30Cpr  Leg,01-2024,
2669,29161,Luvox 100mg 30 Comprimidos Revestidos,01-2024,
3030,10789,Ciloxan col 5ml,01-2024,
3070,38893,Primogyna 1mg 28 Drágeas,01-2024,
3289,6841,"Cetrolac Solução Oftálmica 5mg/mL, caixa com 1 frasco gotejador com 5mL de solução de uso oftálmico",01-2024,
3325,5905,"Maleato de Enalapril Multilab 10mg, caixa com 30 comprimidos",01-2024,
3460,17065,Fluconazol 150mg 2 cápsula Eurofarma Genérico,01-2024,
3498,22333,Deflazacorte 6mg 20 comprimidos EMS Genérico,01-2024,
