int64_field_0,venda_id,nome_produto,data_venda,quantidade
4,6457,Cetrolac SL 10mg 20 comprimidos sublinguais,01-2024,
13,3193,Zanidip 20mg 30 comprimidos,01-2024,
32,5461,"Decadron 0,75mg 20 comprimidos",01-2024,
47,4249,"Venzer HCT 16mg + 12,5mg 30 comprimidos",01-2024,
86,121,Busonid Caps 400mcg 60 cápsulas para inalação + 1 inalador,01-2024,
106,1861,Lisador Dip 1g 10 comprimidos,01-2024,
160,2149,Maxalgina 1g 10 Comprimidos,01-2024,
204,2029,Alivium 400mg 10 cápsulas líquidas,01-2024,
312,6841,Daivonex 50mcg/g Pomada Dermatológica 30g,01-2024,
402,3037,Angipress 50mg 30 comprimidos,01-2024,
410,7189,Adesivos Salonpas Pequeno 4un,01-2024,
453,18481,Analgésico Novalgina 1g 10 comprimidos,01-2024,
563,22465,Gengimin 160mg 15 Comprimidos Revestidos,01-2024,
783,9289,Carverol 250mg 20 comprimidos,01-2024,
828,9445,Apracur 6 comprimidos,01-2024,
971,817,Alektos 20mg 30 comprimidos,01-2024,
1026,589,Zina 5mg 10 comprimidos,01-2024,
1095,8461,"Microvlar 0,15mg + 0,03mg 21 drágeas",01-2024,
1158,2593,Anador 500mg 4 comprimidos,01-2024,
1256,4645,Diovan Amlo Fix 160mg + 10mg 28 comprimidos revestidos,01-2024,
1311,1765,Analgésico Sonridor 2 comprimidos efervescentes,01-2024,
1347,2305,Bye Bye Fever para Bebês 0 a 2 Anos 2 unidades,01-2024,
1404,7693,Dexason Elixir 100ml,01-2024,
1406,7777,Teflan 20mg 10 comprimidos revestidos,01-2024,
1521,21889,"Solução Oftálmica Timoptol 0,5% 5ml",01-2024,
1525,1393,Tormiv SL 10mg Sabor Limão 10 comprimidos sublinguais,01-2024,
1535,14377,Sirdalud 2mg 30 comprimidos,01-2024,
1568,13945,Lípitor 20mg 30 comprimidos revestidos,01-2024,
1708,1609,Gripalcê Uno Bebê Sabor Cereja 15ml,01-2024,
1758,5053,"Bramicar HCT 80mg + 12,5mg 60 comprimidos",01-2024,
1761,18145,Pastilhas Vick Drops Sabor Artificial de Limão 10g,01-2024,
1792,1933,Alivium 400mg 8 cápsulas líquidas,01-2024,
1803,5545,Artrosil 320mg 20 cápsulas duras de liberação prolongada,01-2024,
1938,7333,Voltaren SR 75mg 20 comprimidos revestidos de liberação prolongada,01-2024,
2029,6373,Motix Pomada 50g,01-2024,
2106,7849,Symdulor SL 10mg 10 comprimidos sublinguais,01-2024,
2153,13981,Sinvastacor 40mg 30 comprimidos revestidos,01-2024,
2172,20893,Suplemento Hidroeletrolítico Hidralyte Laranja 500ml,01-2024,
2342,4081,"Holmes H 20mg + 12,5mg 30 comprimidos revestidos",01-2024,
2564,4009,Micardis Anlo 80mg + 10mg 30 comprimidos,01-2024,
2589,16021,Lavagem Nasal Nasoar 30 sachês + frasco aplicador,01-2024,
2597,361,Allexofedrin 180mg 10 comprimidos revestidos,01-2024,
2652,5101,"Tenadren 40mg + 12,5mg 30 comprimidos",01-2024,
2832,14185,Musculare 10mg 30 comprimidos revestidos,01-2024,
3006,6445,Dexaneurin Injetável 3 Ampolas A de 2mL e 3 Ampolas B de 1mL,01-2024,
3093,8845,"Elani 28 3mg + 0,03mg 28 comprimidos revestidos",01-2024,
3123,6241,"Betametasona 0,1mg/ml sabor Framboesa 120ml",01-2024,
3218,15781,"Solução Nasal Naridrin 12 Horas 1mg/ml + 0,2mg/ml + 5mg/ml 30ml",01-2024,
3301,22933,Solução Otológica Cerumin 8ml,01-2024,
3331,25525,Primogyna 1mg 28 drágeas,01-2024,
3355,19969,"Sandrena 0,1mg Gel 28 sachês com 1g",01-2024,
3389,10213,Artrolive 500mg + 400mg 30 cápsulas,01-2024,
3399,20677,Lacto-Leve Sem Sabor 120ml,01-2024,
3419,7609,Duoflam 5mg/ml + 2mg/ml Suspensão Injetável com 1ml + seringa,01-2024,
3469,2317,Bye Bye Fever para Adultos 2 unidades,01-2024,
3576,17065,Insulina Fiasp 100U FlexTouch 3ml Com 1 Caneta,01-2024,
3812,24445,Pomada Bucal Mud Oral 1mg/g 10g,01-2024,
3868,14545,Gel Hidratante Intravaginal Provagin 30g,01-2024,
3922,301,Loratamed Loratadina 1mg/ml Sabor Uva 100ml,01-2024,
3982,6961,Flexive CDM Creme 50g,01-2024,
3996,13897,Zimiex 10mg 30 comprimidos,01-2024,
4012,8485,"Neovlar 0,25mg + 0,05mg 21 drágeas",01-2024,
4085,21685,"Atropina 0,5% Solução Oftálmica 5ml",01-2024,
4093,3985,Micardis Anlo 40mg + 5mg 30 comprimidos,01-2024,
4181,12637,Ginkomed 80mg 30 comprimidos revestidos,01-2024,
4324,29808,Pomada Bucal Mud Oral 1mg/g 10g,01-2024,
4367,685,"Clob - X 0,5mg/g Pomada Dermatológica 30g",01-2024,
4480,20833,Regulador Intestinal 20 Bí 30 Cápsulas com 335mg,01-2024,
4576,26377,Teste de Gravidez Fast Test Plus 1un,01-2024,
4715,17677,Pyridium 200mg 18 Drágeas,01-2024,
4738,3325,Atacand 16mg 30 comprimidos,01-2024,
4889,7069,Xarope Polaradex 100ml,01-2024,
4951,13717,Coledue R 10mg + 5mg 30 cápsulas duras,01-2024,
5184,30119,Lípitor 20mg 30 comprimidos revestidos,01-2024,
5242,14389,Hirudoid 500 Pomada 5mg/g 40g,01-2024,
5308,11893,Ritmoneuran RTM 20 Cápsulas,01-2024,
5319,3241,Aldomet 500mg 30 comprimidos revestidos,01-2024,
5352,22237,Nautex 8mg 10 Comprimidos,01-2024,
5419,11701,Antiácido Mylanta Plus Sabor Menta 240ml,01-2024,
5491,7705,"Therapsor 0,5mg/ml Solução Capilar 25ml",01-2024,
5672,8665,Nactali 75mcg 84 comprimidos revestidos,01-2024,
5758,12757,"Marevan 7,5mg 30 comprimidos",01-2024,
5808,6397,Dolamin Flex 125mg + 5 mg 15 comprimidos revestidos,01-2024,
5831,5317,Acheflan 5mg/g Aerossol 75ml,01-2024,
6100,20929,Lactulife Sabor Ameixa 120ml,01-2024,
6112,9325,Cimegripe 20 cápsulas,01-2024,
6208,28707,Analgésico Sonridor 2 comprimidos efervescentes,01-2024,
6224,18181,Pastilhas Vick Drops Sabor Artificial de Cereja 10g,01-2024,
6230,12781,"Marevan 2,5mg 60 comprimidos",01-2024,
6297,14881,Buscoveran Composto 10ml,01-2024,
6348,8017,"Yaz Flex 3mg + 0,02mg 30 comprimidos revestidos",01-2024,
6452,18589,"Liberaflux 7,5mg/ml Sabor Cereja 100ml",01-2024,
6683,29661,Cetrolac SL 10mg 20 comprimidos sublinguais,01-2024,
6742,5221,"Indapen SR 1,5mg 30 comprimidos revestidos de liberação prolongada",01-2024,
6810,18817,Xarope Mucosolvan 30mg/5ml Sabor Morango 120ml,01-2024,
6916,20305,"Glicel 1,5g Pediátrico 6 supositórios de glicerina",01-2024,
