name,sub_category,brand,unit_price,discount,discount_price,pix_discount,pix_price,code,link
Shampoo Tio Nacho Antiqueda Clareador 415Ml,Shampoo,Tío Nacho,"R$ 37,99",0%,"R$ 37,23",-2,"R$ 37,23",Cód: 1011858,https://www.farmaponte.com.br/shampoo-tio-nacho-antiqueda-clareador-415ml/p
Shampoo Todos os Tipos de Cabelos Turma da Mônica Kids 260ml,Shampoo Infantil,generico,"R$ 17,99",0%,"R$ 17,63",-2,"R$ 17,63",Cód: 1051513,https://www.farmaponte.com.br/shampoo-todos-os-tipos-de-cabelos-turma-da-monica-kids-260ml/p
Repopil 2 + 0035mg caixa com 21 comprimidos revestidos,Antiacneico,Legrand,"R$ 27,55",28%,"R$ 19,44",-29,"R$ 19,44",Cód: 1007902,https://www.farmaponte.com.br/repopil-21cpr-l2-rev/p
Grampo P Cabelo N5 Preto C 100,Acessórios para Cabelo,Ricca,"R$ 7,49",0%,"R$ 7,34",-2,"R$ 7,34",Cód: 1011826,https://www.farmaponte.com.br/grampo-p-cabelo-n5-preto-c-100/p
Ed kin pack 2x1 blister infantil,Escova Dental Infantil,generico,,,"R$ 0,00",-100,"R$ 0,00",Cód: 1026648,https://www.farmaponte.com.br/ed-kin-pack-2x1-blister-infantil/p
"Revange 37,5mg + 325,0mg 30 Comprimidos Revestidos",Psicotropico,Aché,,,"R$ 86,29",-20,"R$ 86,29",Cód: 1039686,https://www.farmaponte.com.br/revange-375mg325mg-30cpr/p
"Sanasar Emulsao 250Mg Ml, Caixa Com 1 Frasco Com 100Ml De Emulsao De Uso Dermatologico",Escabicida,Kley Hertz Farmacêutica,"R$ 25,51",2%,"R$ 24,40",-4,"R$ 24,40",Cód: 94315,https://www.farmaponte.com.br/sanasar-emulsao-250mgml-caixa-com-1-frasco-com-100ml-de-emulsao-de-uso-dermatologico/p
Tintura Koleston Vermelhos Poderosos 5546 Amora,Coloração,generico,,,"R$ 22,44",-19,"R$ 22,44",Cód: 796279,https://www.farmaponte.com.br/tintura-koleston-vermelhos-poderosos-5546-amora/p
Creme Para Pentear Niely Gold Nutrição Poderosa Frasco 280g,Creme para Pentear,Niely Gold,"R$ 11,81",12%,"R$ 10,19",-14,"R$ 10,19",Cód: 1019914,https://www.farmaponte.com.br/cr-pent-niely-nutricao-poderosa-280gr/p
Condicionador Aussie Summer Crush 180mL,Condicionador,Aussie,,,"R$ 25,20",-12,"R$ 25,20",Cód: 1038193,https://www.farmaponte.com.br/condicionador-aussie-summer-crush-180ml/p
Escova De Cabelo Bellesa Estampa Quadrada 984,Escova de cabelos,generico,,,"R$ 28,41",-2,"R$ 28,41",Cód: 1032547,https://www.farmaponte.com.br/esc-cb-bellesa-estam-quadrada-984/p
Protetor Diario Carefree Flex Todo Dia Sem Perfume Lv80 Pg60 Unidades,Protetor Diário,Carefree,,,"R$ 25,38",-2,"R$ 25,38",Cód: 1017947,https://www.farmaponte.com.br/abs-carefree-flex-todo-dia-sp-l80p60/p
Kit Banho Labotrat Dia A Dia Esfoliante 150g E Hidratante 190g Morango,Cremes Para O Corpo,generico,"R$ 44,99",0%,"R$ 44,09",-2,"R$ 44,09",Cód: 1051485,https://www.farmaponte.com.br/kit-banho-labotrat-dia-a-dia-esfoliante-150g-e-hidratante-190g-morango/p
"Protetor Solar L'Oréal Expertise Supreme Protect 4 - FPS 30 com 120mL + protetor solar Expertise antirrugas, FPS 30 com 25g",Protetor Solar Corporal,Solar Expertise,,,"R$ 38,17",-2,"R$ 38,17",Cód: 1037617,https://www.farmaponte.com.br/zz-br-solar-expert-fps30-supr-protectantir-kit/p
Piranha Catherine Flor 310472,Acessórios para Cabelo,generico,"R$ 2,01",10%,"R$ 1,77",-12,"R$ 1,77",Cód: 1044530,https://www.farmaponte.com.br/piranha-catherine-flor-310472/p
"Pepsamar 230Mg, Caixa Com 50 Comprimidos Mastigaveis",Digestivo,Neo Química,"R$ 39,81",15%,"R$ 33,16",-17,"R$ 33,16",Cód: 1008757,https://www.farmaponte.com.br/pepsamar-230mg-caixa-com-50-comprimidos-mastigaveis/p
Pincel M.Fra Po Blu Serena Rx0601,Acessórios de Maquiagem,generico,,,"R$ 12,73",-30,"R$ 12,73",Cód: 1038003,https://www.farmaponte.com.br/pincel-mfra-poblu-serena-rx0601/p
Metamucil pó solúvel frasco 210g,Laxantes e Purgantes,P&G,,,"R$ 111,23",-2,"R$ 111,23",Cód: 1032619,https://www.farmaponte.com.br/metamucil-sol-inst-nat-210gr/p
CHUP T2 NUK SENS SOFT SIL GIRL 7329-2G,Chupeta,generico,,,"R$ 33,31",-2,"R$ 33,31",Cód: 1043321,https://www.farmaponte.com.br/chupeta-nuk-sensitive-100-soft-silicone-tamanho-2-rosa/p
"Azitromicina 900mg Genérico Pharmax Suspensão Oral 22,5mL",Antibiotico,generico,"R$ 48,63",3%,"R$ 46,23",-5,"R$ 46,23",Cód: 1043098,https://www.farmaponte.com.br/azitromicina-900mg-generico-pharmax-suspensao-oral-225ml/p
Trivagel N creme vaginal bisnaga com 60g + 10 aplicadores,Antibiotico,Marjan Farma,"R$ 98,37",15%,"R$ 81,94",-17,"R$ 81,94",Cód: 22861,https://www.farmaponte.com.br/trivagel-n-cre-60gr/p
Oxímetro de Dedo Pulso Digital Multilaser OX-06 HC261,Acessórios para a Saúde,generico,"R$ 99,99",0%,"R$ 97,99",-2,"R$ 97,99",Cód: 1049600,https://www.farmaponte.com.br/oximetro-de-dedo-pulso-digital-multilaser-ox-06-hc261/p
Kit Primeiros Cuidados do Bebê Ref1450,Acessórios para Bebês,generico,"R$ 42,99",0%,"R$ 42,13",-2,"R$ 42,13",Cód: 1051557,https://www.farmaponte.com.br/kit-primeiros-cuidados-do-bebe-ref1450/p
"Gelol 0,0333Ml Ml + 0,0333G Ml + 0,0083G Ml, Tubo Aerossol Com 60Ml De Solucao De Uso Dermatologico",Reumatismo,Cosmed,"R$ 51,70",12%,"R$ 44,79",-13,"R$ 44,79",Cód: 6343,https://www.farmaponte.com.br/gelol-00333mlml-00333gml-00083gml-tubo-aerossol-com-60ml-de-solucao-de-uso-dermatologico/p
Diminut 0075 + 002mg caixa com 21 comprimidos revestidos,Anticoncepcional,Libbs,"R$ 51,29",10%,"R$ 45,24",-12,"R$ 45,24",Cód: 64211,https://www.farmaponte.com.br/diminut-0075-002mg-caixa-com-21-comprimidos-revestidos/p
Dilatador Nasal Clear Passage Transp Grande Com 9 Unidades,Acessórios para a Saúde,ClearPassage,"R$ 43,97",16%,"R$ 36,16",-18,"R$ 36,16",Cód: 1006250,https://www.farmaponte.com.br/dilatador-nasal-clear-passage-g-transparente-9unidades/p
Hawaiian Tropic Aceite Seco Protetor Solar Spray FPS 6 170g,Protetor Solar,generico,"R$ 72,49",0%,"R$ 71,04",-2,"R$ 71,04",Cód: 1051969,https://www.farmaponte.com.br/hawaiian-tropic-aceite-seco-protetor-solar-spray-fps-6-170g/p
Creme para Pentear Pantene Hidrata 240g,Creme para Pentear,Pantene,"R$ 31,97",10%,"R$ 28,19",-12,"R$ 28,19",Cód: 1034030,https://www.farmaponte.com.br/creme-de-pentear-pantene-hidratacao-240g/p
Escova Dental Curaprox Cs 5460 Ultra Soft Sortidas Com 3 Unidades,Escova Dental,Curaprox,"R$ 118,32",10%,"R$ 104,36",-12,"R$ 104,36",Cód: 1029268,https://www.farmaponte.com.br/escova-dental-curaprox-cs-5460-ultra-soft-sortidas-com-3-unidades/p
"Cetoconazol + Dipropionato De Betametasona + Sulfato De Neomicina Medley 20Mg G + 0,5Mg G + 2,5Mg G, Caixa Contendo 1 Bisnaga Com 30G De Creme De Uso Dermatologico",Corticóide Tópico,Medley,"R$ 32,54",3%,"R$ 30,93",-5,"R$ 30,93",Cód: 690104,https://www.farmaponte.com.br/cetoconazol-dipropionato-de-betametasona-sulfato-de-neomicina-medley-20mgg-05mgg-25mgg-caixa-contendo-1-bisnaga-com-30g-de-creme-de-uso-dermatologico/p
Óleo Corporal Desodorante Cia da Natureza Amêndoas Doces e Macadâmia 110Ml,Óleo e Sérum de Tratamento,generico,"R$ 12,99",0%,"R$ 12,73",-2,"R$ 12,73",Cód: 1051450,https://www.farmaponte.com.br/oleo-corporal-desodorante-cia-da-natureza-amendoas-doces-e-macadamia-110ml/p
Creme Dental Colgate Sensitive Pro-Alivio 1 Unidade Com 110G,Creme E Gel Dental,Colgate,"R$ 17,50",0%,"R$ 17,15",-2,"R$ 17,15",Cód: 1010081,https://www.farmaponte.com.br/creme-dental-colgate-sensitive-pro-alivio-1-unidade-com-110g/p
"Norestin 0,35 Mg 35 Comprimidos",Anticoncepcional,Biolab,"R$ 15,73",14%,"R$ 13,26",-16,"R$ 13,26",Cód: 43354,https://www.farmaponte.com.br/norestin-035mg-35cpr/p
Protetor Solar Australian Gold Instant Bronzer FPS 15 spray gel com 237mL,Bronzeadores,O Boticário,"R$ 71,89",0%,"R$ 70,45",-2,"R$ 70,45",Cód: 1034409,https://www.farmaponte.com.br/br-aust-g-ins-br-fps15-sp-gel-237ml/p
Cetaphil Creme Hidratante Corporal Pele Seca 453g,Hidratante Corporal,Cetaphil,"R$ 109,90",0%,"R$ 107,70",-2,"R$ 107,70",Cód: 803629,https://www.farmaponte.com.br/creme-hidratante-cetaphil-453g/p
Escova Dental Powerd Refil Conico C 6 1256,Escova Dental,PowerDent,"R$ 10,69",0%,"R$ 10,48",-2,"R$ 10,48",Cód: 1028780,https://www.farmaponte.com.br/ed-powerd-refil-conico-c-6-1256/p
Fio Dental Com Cera Dental Clean Menta 130m,Creme E Gel Dental,generico,"R$ 16,99",0%,"R$ 16,65",-2,"R$ 16,65",Cód: 1051186,https://www.farmaponte.com.br/fio-dental-com-cera-dental-clean-menta-130m/p
"Previane 0,075Mg + 0,02Mg, Caixa Com 21 Comprimidos Revestidos",Anticoncepcional,Legrand,"R$ 43,02",43%,"R$ 24,03",-44,"R$ 24,03",Cód: 107379,https://www.farmaponte.com.br/previane-0075mg-002mg-caixa-com-21-comprimidos-revestidos/p
"Mix de Fibras Fibernorm Lata, 225g",Laxantes e Purgantes,Takeda,,,"R$ 122,00",-30,"R$ 122,00",Cód: 1030762,https://www.farmaponte.com.br/fibernorm-225gr/p
Kit Shampoo Pantene Hidratação 350mL + Condicionador 175mL,Kit Shampoo E Condicionador,generico,"R$ 39,18",0%,"R$ 38,40",-2,"R$ 38,40",Cód: 1040161,https://www.farmaponte.com.br/kit-shampoo-pantene-hidratacao-350ml-condicionador-175ml/p
Escova Dental Power Clinical Pos Cirurg 1338,Escova Dental,PowerDent,"R$ 12,25",0%,"R$ 12,01",-2,"R$ 12,01",Cód: 1025660,https://www.farmaponte.com.br/escova-dental-powerdent-profissional-pos-cirurgica-1-unidade/p
Condicionador Pantene Pro-V Hidro-Cauterizacao 175Ml,Condicionador,Pantene Pro-V,"R$ 19,87",0%,"R$ 19,47",-2,"R$ 19,47",Cód: 1032593,https://www.farmaponte.com.br/condicionador-pantene-pro-v-hidro-cauterizacao-175ml/p
"Lencos De Papel Kleenex Classic Bolso, Folha Tripla Com 10 Unidades",Lenços de Papel e Umedecidos,Kleenex,"R$ 2,85",10%,"R$ 2,52",-12,"R$ 2,52",Cód: 62138,https://www.farmaponte.com.br/lencos-de-papel-kleenex-classic-bolso-folha-tripla-com-10-unidades/p
Bellesa Kids Elastico P  Cabelo Pom Pom Grande C  1 Un,Acessórios para a Saúde,generico,"R$ 11,29",0%,"R$ 11,06",-2,"R$ 11,06",Cód: 1051658,https://www.farmaponte.com.br/bellesa-kids-elastico-p-cabelo-pom-pom-grande-c-1-un/p
Brasart HCT 320mg + 25mg com 30 comprimidos,Anti-hipertensivos,EMS Sigma Pharma,"R$ 114,74",14%,"R$ 96,71",-16,"R$ 96,71",Cód: 1009102,https://www.farmaponte.com.br/brasart-hct-320mg-25mg-caixa-com-30-comprimidos-revestidos/p
