Farmácia,Nome,Marca,GTIN,Codigo,Sub_categoria,Preco_unitario,Preco_com_desconto,Preco_pix,Desconto,Desconto_com_pix,Link,Desconto_percentual,Desconto_pix_percentual
Vera Cruz,Blephagel 40g,União Química,3662042000249,,,129.9,109.83,109.83,20.07,20.07,https://www.drogariaveracruz.com.br/gel-para-higiene-dos-olhos-blephagel-40g/p,,
Vera Cruz,Renu Fresh Solução Multiuso 355ml + 120ml + Estojo para Lentes,Bausch &amp; Lomb,7896046381004,,,49.9,35.56,35.56,14.34,14.34,https://www.drogariaveracruz.com.br/solucao-multiuso-renu-fresh-355ml-120ml-estojo-para-lentes/p,,
Vera Cruz,Aradois 50mg 30 comprimidos revestidos,Biolab Sanus,7896112486787,,,57.29,4.9,4.9,52.39,52.39,https://www.drogariaveracruz.com.br/aradois-50mg-30-comprimidos-revestidos/p,,
Vera Cruz,Glifage XR 500mg 30 comprimidos de liberação prolongada,Merck,7891721201806,,,11.95,7.27,7.27,4.68,4.68,https://www.drogariaveracruz.com.br/glifage-xr-500mg-30-comprimidos-de-liberacao-prolongada/p,,
Vera Cruz,Niquitin 21mg 7 adesivos transdérmicos transparentes,Gsk,7898928257032,,,132.44,100.07,100.07,32.37,32.37,https://www.drogariaveracruz.com.br/niquitin-21mg-7-adesivos-transdermicos-transparentes/p,,
Vera Cruz,Probid 30 cápsulas,Apsen,7896637032209,,,88.9,84.46,84.46,4.44,4.44,https://www.drogariaveracruz.com.br/suplemento-alimentar-probid-30-capsulas/p,,
Vera Cruz,Slinda 4mg 3 blísteres com 28 comprimidos revestidos cada,Exeltis,7908134200552,,,311.61,233.86,233.86,77.75,77.75,https://www.drogariaveracruz.com.br/slinda-4mg-3-blisteres-com-28-comprimidos-revestidos-cada/p,,
Vera Cruz,Rivaroxabana 20mg EMS 30 comprimidos revestidos,Ems,7896004780511,,,242.26,29.07,27.62,213.19,214.64,https://www.drogariaveracruz.com.br/rivaroxabana-20mg-ems-30-comprimidos-revestidos/p,,
Vera Cruz,Materna Nestlé 30 comprimidos revestidos,Nestlé,7891045031257,,,75.9,65.62,65.62,10.28,10.28,https://www.drogariaveracruz.com.br/suplemento-vitaminico-nestle-materna-30-comprimidos-revestidos/p,,
Vera Cruz,Lactosil Flora 30 cápsulas,Apsen,7896637032247,,,59.9,56.91,56.91,2.99,2.99,https://www.drogariaveracruz.com.br/lactosil-flora-30-capsulas/p,,
Vera Cruz,Calcitran Triflex 30 comprimidos,Divcom Pharma,7898040329716,,,68.9,65.46,65.46,3.44,3.44,https://www.drogariaveracruz.com.br/suplemento-alimentar-calcitran-triflex-30-comprimidos/p,,
Vera Cruz,Salicetil Infantil 100mg 10 comprimidos,Brasterapica,7898100241897,,,2.25,1.05,1.05,1.2,1.2,https://www.drogariaveracruz.com.br/salicetil-infantil-100mg-10-comprimidos/p,,
Vera Cruz,Teste de Gravidez Confira 1un,Sanfarma,7898108640609,,,7.9,1.73,1.73,6.17,6.17,https://www.drogariaveracruz.com.br/teste-de-gravidez-confira-1un/p,,
Vera Cruz,Opti-Free Puremoist 300ml + 120ml + Estojo de Lentes,Novartis,300651361070,,,86.45,69.25,69.25,17.2,17.2,https://www.drogariaveracruz.com.br/solucao-de-desinfeccao-multiproposito-opti-free-puremoist-300ml-120ml-estojo-de-lentes/p,,
Vera Cruz,Previgrip Glóbulos Weleda 20g,Weleda,7893093083882,,,103.5,89.48,89.48,14.02,14.02,https://www.drogariaveracruz.com.br/previgrip-weleda-20g/p,,
