Marca,GTIN,Desconto,Preco com desconto,link,Nome,Desconto com pix,Preco pix,Preco unitario
Sensaty,7891522022136,,,https://www.farmaponte.com.br/fralda-geriatrica-sensaty-premium-g-20-unidades/p,"Fralda Geriatrica Sensaty Premium G, 20 Unidades",,,
None,7896004719115,,,https://www.farmaponte.com.br/dipirona-gts-10ml-ger/p,Dipirona Gotas 10ml Germed,,,
Sensaty,7891522022143,,,https://www.farmaponte.com.br/fralda-geriatrica-sensaty-premium-xg-16-unidades/p,"Fralda Geriatrica Sensaty Premium Eg, 18 Unidades",,,
Sensaty,7891522022129,,,https://www.farmaponte.com.br/fralda-geriatrica-sensaty-premium-m-20-unidades/p,"Fralda Geriatrica Sensaty Premium M, 20 Unidades",,,
Eurofarma,7891317127800,,,https://www.farmaponte.com.br/tadalafila-eurofarma-20mg-caixa-com-4-comprimidos-revestidos/p,"Tadalafila Eurofarma 20mg, Caixa Com 4 Comprimidos Revestidos",,,
Biosintética - Aché,7896181911036,,,https://www.farmaponte.com.br/dipirona-monoidratada-ache-50mgml-caixa-com-1-frasco-com-100ml-de-solucao-oral-1-copo-medidor/p,Dipirona Monoidratada Solução De Uso Oral 50mg Ml Com 100ml + Copo Medidor Aché Biosintética Genérico,,,
Bd,7891463006615,,,https://www.farmaponte.com.br/seringa-bd-solomed-com-agulha-3ml-30mm-x-070mm/p,"Seringa Bd Solomed Com Agulha, 3ml, 30mm X 0,70mm",,,
Sensaty,7891522200107,,,https://www.farmaponte.com.br/absorvente-geriatrico-unissex-sensaty-premium-tamanho-unico-20-unidades/p,"Absorvente Geriatrico Unissex Sensaty Premium Tamanho Unico, 20 Unidades",,,
Cpmh,7898666523505,,,https://www.farmaponte.com.br/novel-coronavirus-autoteste-antigeno-bioscience/p,Autoteste Covid-19 Proxima Antígeno 1 Unidade,,,
Medley,7896422525190,,,https://www.farmaponte.com.br/citrato-de-sildenafila-medley-50mg-caixa-com-4-comprimidos-revestidos/p,"Citrato De Sildenafila Medley 50mg, Caixa Com 4 Comprimidos Revestidos",,,
Aché,7896658027208,,,https://www.farmaponte.com.br/dayvit-kids-120ml/p,Suplemento Alimentar Dayvit Kids Suspensão Oral 120ml,,,
Fqm Melora,7898244720036,,,https://www.farmaponte.com.br/kit-imecap-hair-cabelos-e-unhas-leve-90-pague-60/p,Kit Imecap Hair Cabelos E Unhas Leve 90 Pague 60,,,
Sanofi,7891058021528,,,https://www.farmaponte.com.br/dulcolax-5mg-caixa-com-20-drageas/p,"Dulcolax 5mg, Caixa Com 20 Drageas",,,
Marjan Farma,7896226109572,,,https://www.farmaponte.com.br/calde-mdk-2000-com-60-comprimidos/p,Suplemento Alimentar Caldê Mdk 2.000ui 60 Comprimidos Revestidos,,,
Eurofarma,7891317477592,,,https://www.farmaponte.com.br/citrato-de-sildenafila-eurofarma-50mg-caixa-com-4-comprimidos-revestidos/p,"Citrato De Sildenafila Eurofarma 50mg, Caixa Com 4 Comprimidos Revestidos",,,
Não encontrada,Não encontrado,,,https://www.farmaponte.com.br/20-bi-com-30-capsulas/p,20 Bi Com 30 Cápsulas,,,
Fbm Farma,7897137900401,,,https://www.farmaponte.com.br/hylo-gel-2mgml-caixa-com-1-frasco-gotejador-com-10ml-de-solucao-de-uso-oftalmico/p,"Hylo-Gel 2mg Ml, Caixa Com 1 Frasco Gotejador Com 10ml De Solucao De Uso Oftalmico",,,
Aché,7896181928591,,,https://www.farmaponte.com.br/alenia-12mcg-400mcg-caixa-com-60-capsulas-gelatinosas-duras-com-po-de-uso-inalatorio-refil/p,Alenia Em Pó De Uso Inalatório 12mcg + 400mcg Com 60 Cápsulas Refil Aché,,,
Ems,7896004700502,,,https://www.farmaponte.com.br/apevitin-bc-susp-ems/p,Apevitin Bc Solução Oral Frasco Com 240ml,,,
Wyeth/Pfizer,7891045031257,,,https://www.farmaponte.com.br/materna-nestle-30cap/p,Polivitamínico Materna Para Gestantes 30 Comprimidos,,,
Gsk,7896015591946,,,https://www.farmaponte.com.br/leite-de-magnesia-eno-350ml/p,Leite De Magnesia Eno 350ml,,,
Ems,7894916515207,,,https://www.farmaponte.com.br/condres-40mg-caixa-com-90-capsulas/p,Colágeno Condres 90 Cápsulas,,,
Bravir,7896186002548,,,https://www.farmaponte.com.br/odorizante-de-ambiente-bendita-canfora-8-tabletes/p,Odorizante De Ambiente Bendita Canfora 8 Tabletes,,,
G-Tech,7898301059635,,,https://www.farmaponte.com.br/tira-teste-de-glicose-g-tech-free-lite-50-unidades/p,Tira-Teste De Glicose G-Tech Free Lite 50 Unidades,,,
Cifarma,7898495605977,,,https://www.farmaponte.com.br/venocel-100mg-caixa-com-60-capsulas-gelatinosas/p,"Venocel 100mg, Caixa Com 60 Capsulas Gelatinosas",,,
Farmoquímica,7898040323806,,,https://www.farmaponte.com.br/simbioflora-15-saches-com-6g-de-po-para-solucao-de-uso-oral/p,Simbioflora 15 Saches Com 6g De Po Para Solucao De Uso Oral,,,
Sandoz,7897595609854,,,https://www.farmaponte.com.br/sinvastatina-sandoz-20mg-caixa-com-30-comprimidos-revestidos/p,"Sinvastatina Sandoz 20mg, Caixa Com 30 Comprimidos Revestidos",,,
Sensaty,7891522201333,,,https://www.farmaponte.com.br/roupa-intima-sensaty-pants-g-16-unidades/p,"Roupa Intima Sensaty Pants G Eg, 16 Unidades",,,
Bayer,7891106916059,,,https://www.farmaponte.com.br/gino-canesten-500mg-caixa-com-1-comprimido-vaginal-1-aplicador/p,"Gino-Canesten 500mg, Caixa Com 1 Comprimido Vaginal + 1 Aplicador",,,
Biolab,7896112400448,,,https://www.farmaponte.com.br/pantogar-neo-com-60-capsulas/p,Pantogar Neo Com 60 Capsulas,,,
Boiron,7898927111014,,,https://www.farmaponte.com.br/sedatif-pc-com-60-comprimidos/p,Sedatif Pc Com 60 Comprimidos,,,
Aché,7896658028205,,,https://www.farmaponte.com.br/colidis-gotas-10ml/p,Colidis Gotas 10ml,,,
Medley,7896422501682,,,https://www.farmaponte.com.br/tadalafila-medley-20mg-caixa-com-4-comprimidos-revestidos/p,"Tadalafila Medley 20mg, Caixa Com 4 Comprimidos Revestidos",,,
Homeopatia Almeida Prado,7896026173018,,,https://www.farmaponte.com.br/complexo-homeopatico-almeida-prado-no-46-0005g-002g-0015g-caixa-com-60-comprimidos/p,Complexo Senna Almeida Prado 46 60 Comprimidos,,,
União Química,8470003997744,,,https://www.farmaponte.com.br/colirio-hyabak-10ml/p,Colirio Hyabak 10ml,,,
None,7898927111304,,,https://www.farmaponte.com.br/quietude-com-20-flaconetes/p,Quiétude Com 20 Flaconetes,,,
Eurofarma,7891317038052,,,https://www.farmaponte.com.br/emama-400mg-30cap/p,Emama 400 Mg 30 Capsula,,,
Marjan Farma,7896226108735,,,https://www.farmaponte.com.br/calde-km-30-comprimidos/p,Suplemento Alimentar Caldê Km - 30 Comprimidos,,,
Gross,7892828000019,,,https://www.farmaponte.com.br/adeforte-caixa-com-1-ampola-com-3ml-de-solucao-de-uso-oral/p,Adeforte Caixa Com 1 Ampola Com 3ml De Solucao De Uso Oral,,,
None,7891137003667,,,https://www.farmaponte.com.br/permanganato-potassio-10-x3adv/p,Permanganato De Potassio 10 Comprimidos,,,
Ems,7896004706368,,,https://www.farmaponte.com.br/clortalidona-ems-25mg-caixa-com-60-comprimidos/p,"Clortalidona Ems 25mg, Caixa Com 60 Comprimidos",,,
Não encontrada,Não encontrado,,,https://www.farmaponte.com.br/expec-04mgml-20mgml-4mgml-6mgml-caixa-com-1-frasco-com-120ml-de-xarope/p,"Expec 0,4mg Ml + 20mg Ml + 4mg Ml + 6mg Ml, Caixa Com 1 Frasco Com 120ml De Xarope",,,
Biolab Genéricos,7896112401193,,,https://www.farmaponte.com.br/ciprofibrato-biolab-genericos-100mg-caixa-com-30-comprimidos/p,"Ciprofibrato Biolab Genericos 100mg, Caixa Com 30 Comprimidos",,,
Neo Química,7896714226705,,,https://www.farmaponte.com.br/sildenafila-50mg-4cpr-neo/p,Sildenafila 50mg Genérico Neo Química 4 Comprimidos Revestidos,,,
Cifarma,7898495605960,,,https://www.farmaponte.com.br/venocel-100mg-caixa-com-30-capsulas-gelatinosas/p,"Venocel 100mg, Caixa Com 30 Capsulas Gelatinosas",,,
Myralis,7898430194467,,,https://www.farmaponte.com.br/suplemento-calceos-kids-morango-200ml/p,"Suplemento Calceos Kids Cereja, 200ml",,,
Momenta Farma,7891317015510,,,https://www.farmaponte.com.br/quelatus-bari-60cpr/p,Quelatus Bari 60 Comprimidos,,,
Aché,7896658029806,,,https://www.farmaponte.com.br/combi-ad-susp-30mlpipeta/p,Suplemento Combi Ad 30ml Solução Com Pipeta,,,
Tena,7896770982256,,,https://www.farmaponte.com.br/roupa-intima-tena-pants-noturna-g-eg-com-24-unidades/p,Roupa Intima Tena Pants Noturna G Eg Com 24 Unidades,,,
Cosmed,7896094906594,,,https://www.farmaponte.com.br/tamarine-12mg-caixa-com-20-capsulas/p,Tamarine 12mg Com 20 Cápsulas,,,
Sensaty,7891522042110,,,https://www.farmaponte.com.br/roupa-intima-sensaty-pants-pm-16-unidades/p,"Roupa Intima Sensaty Pants P M, 16 Unidades",,,
Laboratório Cristália,7896676427745,,,https://www.farmaponte.com.br/kollagenase-06ug-caixa-com-1-bisnaga-com-30g-de-pomada-de-uso-dermatologico-espatula/p,"Kollagenase 0,6u G, Caixa Com 1 Bisnaga Com 30g De Pomada De Uso Dermatologico + Espatula",,,
Aché,7896658035340,,,https://www.farmaponte.com.br/pant-50mg-sol-capilar-50ml-c-3un/p,Pant Solucao Capilar 50ml Com 3 Unidades,,,
None,7898495608923,,,https://www.farmaponte.com.br/calmasyn-900mg-20-comprimidos/p,Calmasyn 900mg 20 Comprimidos,,,
Ems,7896004710761,,,https://www.farmaponte.com.br/sinvastatina-ems-20mg-caixa-com-30-comprimidos-revestidos/p,"Sinvastatina Ems 20mg, Caixa Com 30 Comprimidos Revestidos",,,
Bd,7891463002655,,,https://www.farmaponte.com.br/seringa-bd-luer-lock-sem-agulha-capacidade-de-3ml/p,"Seringa Bd Luer Lock Sem Agulha, Capacidade De 3ml",,,
Farmax,7896902206458,,,https://www.farmaponte.com.br/sal-amargo-farmax-30gr/p,Sal Amargo Farmax 30 Gramas,,,
None,7898639692948,,,https://www.farmaponte.com.br/aparelho-de-pressao-digital-de-pulso-g-tech-bgp400/p,Aparelho De Pressão Digital De Pulso G-Tech Bgp400,,,
Plenitud,7896007550036,,,https://www.farmaponte.com.br/roupa-int-plenitud-femme-gxg-l16p15/p,Roupa Intima Plenitud Femme G Xg Lv 16 Pg 15,,,
Merck,7891721201806,,,https://www.farmaponte.com.br/glifage-xr-500mg-caixa-com-30-comprimidos-de-acao-prolongada/p,"Glifage Xr 500mg, Caixa Com 30 Comprimidos De Acao Prolongada",,,
None,7896006219002,,,https://www.farmaponte.com.br/luvis-gold-60caps/p,Luvis Gold 60 Cápsulas Moles,,,
Galderma,7897930776722,,,https://www.farmaponte.com.br/loceryl-esmalte-50mgml-caixa-com-1-frasco-com-25ml-de-esmalte-de-uso-dermatologico-10-espatulas-30-compressas-30-lixas/p,"Loceryl Esmalte 50mg Ml, Caixa Com 1 Frasco Com 2,5ml De Esmalte De Uso Dermatologico + 10 Espatulas + 30 Compressas + 30 Lixas",,,
None,7896226109718,,,https://www.farmaponte.com.br/colaten-plenne-com-30-saches/p,Colaten Plenne Com 30 Saches,,,
Ferring,7896165600727,,,https://www.farmaponte.com.br/picoprep-10mg-35g-12g-caixa-com-2-saches-de-po-para-preparo-extemporaneo-de-uso-oral/p,"Picoprep Contém 2 Sachês Com 16,1g Cada - Sabor Laranja",,,
Sandoz,7897595635808,,,https://www.farmaponte.com.br/rosuvastatina-20mg-30cpr-l3-sdz/p,Rosuvastatina Cálcica 20mg Com 30 Comprimidos Genérico Sandoz,,,
Cosmed,7897322709789,,,https://www.farmaponte.com.br/tamarine-4878mgg-4719mgg-frasco-com-150g-de-geleia-uso-oral-zero-acucar/p,"Tamarine 4,878mg G + 4,719mg G, Frasco Com 150g De Geleia Uso Oral, Zero Acucar",,,
Arese Pharma,7899824401048,,,https://www.farmaponte.com.br/zirvit-multi-30cpr-rev/p,Zirvit Multi 30 Comprimidos Rev,,,
Pf Consumer Healthcare,7896015560034,,,https://www.farmaponte.com.br/sal-de-frutas-eno-2-envelopes-com-5g-de-po-efervescente-de-uso-oral-laranja/p,"Sal De Frutas Eno 2 Envelopes Com 5g De Po Efervescente De Uso Oral, Laranja",,,
Renu,7896046381004,,,https://www.farmaponte.com.br/solucao-multiproposito-renu-fresh-355ml-gratis-120ml-estojo-para-lentes/p,Kit Renu Fresh 355ml + 120ml + Estojo Para Lentes,,,
Aché,7896658033278,,,https://www.farmaponte.com.br/artrogen-duo-30-saches-de-11g-com-po-para-solucao-oral/p,Artrogen Duo 30 Saches De 11g Com Po Para Solucao Oral,,,
Momenta,7899640808243,,,https://www.farmaponte.com.br/prosso-km-30tab/p,Prosso Km 30 Tabletes,,,
Multilab,7895296449274,,,https://www.farmaponte.com.br/sinvastatina-multilab-20mg-caixa-com-30-comprimidos-revestidos/p,"Sinvastatina Multilab Nova Quimica 20mg, Caixa Com 30 Comprimidos Revestidos",,,
Ems,7896004728858,,,https://www.farmaponte.com.br/rosuvastatina-calcica-ems-20mg-caixa-com-30-comprimidos-revestidos/p,"Rosuvastatina Calcica Ems 20mg, Caixa Com 30 Comprimidos Revestidos",,,
None,7896714295305,,,https://www.farmaponte.com.br/neosoro-fluid-alto-volume-09-para-lavagem-nasal-com-30-saches-e-frasco-aplicador-de-240ml/p,"Neosoro Fluid Alto Volume 0,9  Para Lavagem Nasal Com 30 Sachês E Frasco Aplicador De 240ml",,,
Kester,7908135001417,,,https://www.farmaponte.com.br/aflexa-60cps/p,Aflexa Colágeno 60 Cápsulas,,,
None,7897947613072,,,https://www.farmaponte.com.br/repelente-xo-inseto-icaridina-25-spr-100ml/p,Repelente Xo Inseto Icaridina 25  Spr 100ml,,,
Hebron,7896685303634,,,https://www.farmaponte.com.br/imunoglucan-ds-60caps/p,Suplemento Alimentar Imunoglucan Ds 60 Cápsulas,,,
Myralis,7898430194849,,,https://www.farmaponte.com.br/puravit-imune-caixa-com-1-frasco-com-75ml-de-solucao-de-uso-oral/p,Suplemento Vitamínico E Mineral Puravit Imune Sabor Maça Verde 75ml + Seringa Dosadora,,,
Aché,7896658021428,,,https://www.farmaponte.com.br/sintocalmy-600mg-caixa-com-30-comprimidos-revestidos/p,Sintocalmy 600mg 30 Comprimidos Revestidos,,,
Janssen-Cilag,7891010970888,,,https://www.farmaponte.com.br/nicorette-4mg-mint-30gomas/p,Nicorette 4 Mg Mint 30 Gomas,,,
Mappel Indústria De Embalagens,7898928257025,,,https://www.farmaponte.com.br/niquitin-14mg-7adesivos/p,Niquitin Nicotina 14mg 7 Adesivos,,,
Catarinense Pharma,7896023719899,,,https://www.farmaponte.com.br/melagriao-0125mgml-0125mgml-00064mgml-caixa-com-1-frasco-com-150ml-de-xarope/p,"Melagriao 0,125mg Ml + 0,125mg Ml + 0,0064mg Ml, Caixa Com 1 Frasco Com 150ml De Xarope",,,
Ems,7894916515214,,,https://www.farmaponte.com.br/condres-ultra-90caps/p,Colágeno Condres Ultra 90 Cápsulas,,,
Ems,7896004714578,,,https://www.farmaponte.com.br/naridrin-1mgml-02mgml-5mgml-caixa-com-1-frasco-com-30ml-de-solucao-de-uso-nasal/p,"Naridrin 1mg Ml + 0,2mg Ml + 5mg Ml, Caixa Com 1 Frasco Com 30ml De Solucao De Uso Nasal",,,
None,7891317022525,,,https://www.farmaponte.com.br/vitamina-d-prosso-d-km-1000ui-com-30-comprimidos/p,Vitamina D Prosso D+ Km 1000ui Com 30 Comprimidos,,,
Tena,7896770980498,,,https://www.farmaponte.com.br/roupa-intima-tena-pants-noturna-g-eg-com-16-unidades/p,Roupa Intima Tena Pants Noturna G Eg Com 16 Unidades,,,
Ems,7894916514422,,,https://www.farmaponte.com.br/fixare-60cpr-zz/p,Suplemento Alimentar Fixare 60 Comprimidos,,,
None,7898168001280,,,https://www.farmaponte.com.br/cetobeta-cre-30gr/p,Cetobeta Creme Bisnaga 30g,,,
Aché,7896658026850,,,https://www.farmaponte.com.br/biozinc-kids-guarana-75ml/p,"Suplemento Alimentar Infantil Biozinc Kids Guarana, 75ml",,,
None,7896112407164,,,https://www.farmaponte.com.br/pantogar-neo-com-90-capsulas/p,Pantogar Neo Com 90 Capsulas,,,
Sanofi,7891058008628,,,https://www.farmaponte.com.br/dorflex-10cpr-x30/p,Dorflex 10 Comprimidos,,,
None,7891317007560,,,https://www.farmaponte.com.br/fortice-com-30-comprimidos/p,Fortice Com 30 Comprimidos,,,
Sanofi,7891058002589,,,https://www.farmaponte.com.br/allegra-6mgml-caixa-com-1-frasco-com-60ml-de-suspensao-de-uso-oral-seringa-dosadora/p,"Allegra 6mg Ml, Caixa Com 1 Frasco Com 60ml De Suspensao De Uso Oral",,,
Ems,7896004716138,,,https://www.farmaponte.com.br/espironolactona-ems-100mg-caixa-com-30-comprimidos/p,"Espironolactona Ems 100mg, Caixa Com 30 Comprimidos",,,
Cosmed,7896179850040,,,https://www.farmaponte.com.br/tamarine-caixa-com-20-capsulas/p,Tamarine Caixa Com 20 Capsulas,,,
None,7898040329891,,,https://www.farmaponte.com.br/imecap-hair-max-cabelos-e-unhas-kit-60-30-capsulas/p,Imecap Hair Max Cabelos E Unhas Kit 60 + 30 Capsulas,,,
Cosmed,7896094907324,,,https://www.farmaponte.com.br/engov-24cpr/p,Engov 24cpr,,,
