Marca,GTIN,Desconto,Preco com desconto,link,Nome,Desconto com pix,Preco pix,Preco unitario
Biolab,7896112406617,24.6,164.63,https://www.drogariaveracruz.com.br/ellura-200mg-30-capsulas/p,Ellura 200mg 30 cápsulas,32.83,156.4,189.23
Procter&amp;Gamble,7500435185011,37.0,73.9,https://www.drogariaveracruz.com.br/suplemento-alimentar-femibion-1-28-comprimidos/p,Femibion 1 28 comprimidos,40.69,70.21,110.9
Biolab Sanus,7896112403418,15.39,124.51,https://www.drogariaveracruz.com.br/contractubex-gel-20g/p,Contractubex Gel 20g,21.62,118.28,139.9
Casa Granado,7896512901392,4.78,27.12,https://www.drogariaveracruz.com.br/supositorio-de-glicerina-granado-adulto-12un/p,Supositório de Glicerina Granado Adulto 12un,6.14,25.76,31.9
Eli Lilly,7896382703317,37.87,56.8,https://www.drogariaveracruz.com.br/humulin-n-nph-100uiml-2-refis-de-3ml-cada/p,Humulin N NPH 100UI/ml 2 Refis de 3ml cada,40.71,53.96,94.67
Libbs,7896094210028,17.67,66.47,https://www.drogariaveracruz.com.br/plenance-eze-5mg10mg-30-capsulas/p,Plenance EZE 5mg+10mg 30 Cápsulas,20.99,63.15,84.14
Gsk,7896009498534,23.48,123.27,https://www.drogariaveracruz.com.br/caltrate-ca-600mg-d3-200-ui-60-comprimidos-revestidos/p,Caltrate Ca 600mg + D3 200 UI 60 comprimidos revestidos,29.64,117.11,146.75
Eno,7896015511159,0.94,4.0,https://www.drogariaveracruz.com.br/sal-de-frutas-eno-tradicional-2-envelopes-com-5g/p,Sal de Frutas Eno Tradicional 2 envelopes com 5g,1.14,3.8,4.94
Sanofi,7897595901316,5.71,14.69,https://www.drogariaveracruz.com.br/puran-t4-50mcg-30-comprimidos/p,Puran T4 50mcg 30 comprimidos,6.44,13.96,20.4
Cataflam,7896261019348,16.9,72.04,https://www.drogariaveracruz.com.br/cataflam-pro-xt-232mgg-emugel-100g/p,"Cataflam Pro XT 23,2mg/g Emugel 100g",20.5,68.44,88.94
Cimed,7896523200576,15.53,13.9,https://www.drogariaveracruz.com.br/cimegripe-20-capsulas/p,Cimegripe 20 cápsulas,16.22,13.21,29.43
Catarinense,7896023743009,3.5,23.4,https://www.drogariaveracruz.com.br/ginkgo-biloba-catarinense-80mg-30-comprimidos/p,Ginkgo Biloba Catarinense 80mg 30 comprimidos,4.67,22.23,26.9
Hypera,7896714292168,12.68,57.77,https://www.drogariaveracruz.com.br/laxante-fitoterapico-naturetti-16-capsulas/p,Naturetti 16 cápsulas,15.57,54.88,70.45
Sanofi,7891058002916,0.81,7.28,https://www.drogariaveracruz.com.br/analgesico-dorflex-10-comprimidos/p,Dorflex 10 comprimidos,1.17,6.92,8.09
Não encontrada,Não encontrado,21.12,27.99,https://www.drogariaveracruz.com.br/abc-spray-incolor-10mgml-30ml/p,ABC Spray 10mg/ml 30ml,22.52,26.59,49.11
Biolab Sanus,7896112403258,11.56,29.72,https://www.drogariaveracruz.com.br/doss-15000ui-30-capsulas-gelatinosas-moles/p,Doss 15.000UI 04 cápsulas gelatinosas moles,13.05,28.23,41.28
Ems,7896004714578,18.63,19.9,https://www.drogariaveracruz.com.br/solucao-nasal-naridrin-12-horas-1mgml-02mgml-5mgml-30ml/p,"Naridrin 12 Horas 1mg/ml + 0,2mg/ml + 5mg/ml 30ml",19.62,18.91,38.53
Arese Pharma,7899824400331,41.33,138.38,https://www.drogariaveracruz.com.br/minel-200mg-30-comprimidos-revestidos/p,Minel 200mg 30 comprimidos revestidos,48.25,131.46,179.71
Genom,7896261000223,2.54,11.56,https://www.drogariaveracruz.com.br/apresolina-50mg-20-drageas/p,Apresolina 50mg 20 drágeas,3.12,10.98,14.1
Boehringer,7896026300162,1.82,8.87,https://www.drogariaveracruz.com.br/atensina-0100mg-30-comprimidos/p,"Atensina 0,100mg 30 comprimidos",2.26,8.43,10.69
Bausch &amp; Lomb,7896046381004,12.47,37.43,https://www.drogariaveracruz.com.br/solucao-multiuso-renu-fresh-355ml-120ml-estojo-para-lentes/p,Renu Fresh Solução Multiuso 355ml + 120ml + Estojo para Lentes,14.34,35.56,49.9
União Química,3662042000249,14.29,115.61,https://www.drogariaveracruz.com.br/gel-para-higiene-dos-olhos-blephagel-40g/p,Blephagel 40g,20.07,109.83,129.9
Biolab Sanus,7896112486787,52.13,5.16,https://www.drogariaveracruz.com.br/aradois-50mg-30-comprimidos-revestidos/p,Aradois 50mg 30 comprimidos revestidos,52.39,4.9,57.29
Apsen,7896637032247,,59.9,https://www.drogariaveracruz.com.br/lactosil-flora-30-capsulas/p,Lactosil Flora 30 cápsulas,,56.91,
Divcom Pharma,7898040329716,,68.9,https://www.drogariaveracruz.com.br/suplemento-alimentar-calcitran-triflex-30-comprimidos/p,Calcitran Triflex 30 comprimidos,,65.46,
Nestlé,7891045031257,6.83,69.07,https://www.drogariaveracruz.com.br/suplemento-vitaminico-nestle-materna-30-comprimidos-revestidos/p,Materna Nestlé 30 comprimidos revestidos,10.28,65.62,75.9
Brasterapica,7898100241897,1.15,1.1,https://www.drogariaveracruz.com.br/salicetil-infantil-100mg-10-comprimidos/p,Salicetil Infantil 100mg 10 comprimidos,1.2,1.05,2.25
Novartis,300651361070,13.56,72.89,https://www.drogariaveracruz.com.br/solucao-de-desinfeccao-multiproposito-opti-free-puremoist-300ml-120ml-estojo-de-lentes/p,Opti-Free Puremoist 300ml + 120ml + Estojo de Lentes,17.2,69.25,86.45
Weleda,7893093083882,9.31,94.19,https://www.drogariaveracruz.com.br/previgrip-weleda-20g/p,Previgrip Glóbulos Weleda 20g,14.02,89.48,103.5
Sanfarma,7898108640609,6.08,1.82,https://www.drogariaveracruz.com.br/teste-de-gravidez-confira-1un/p,Teste de Gravidez Confira 1un,6.17,1.73,7.9
Neosaldina,7896094999985,11.08,37.09,https://www.drogariaveracruz.com.br/neosaldina-solucao-oral-15ml/p,Neosaldina Solução Oral 15ml,12.93,35.24,48.17
Ache,7896181920410,10.03,4.72,https://www.drogariaveracruz.com.br/corus-50mg-30-comprimidos-revestidos/p,Corus 50mg 30 comprimidos revestidos,10.27,4.48,14.75
Hypera,7896094917408,17.59,158.31,https://www.drogariaveracruz.com.br/suplemento-alimentar-ofalato-90-comprimidos/p,Ofolato 90 comprimidos,25.51,150.39,175.9
Hertz,7896331706086,5.79,52.11,https://www.drogariaveracruz.com.br/gel-hidratante-intravaginal-vagisoft-30g-10-aplicadores-descartaveis/p,VagiSoft 30g + 10 Aplicadores Descartáveis,8.4,49.5,57.9
Gsk,7898928257018,33.91,87.18,https://www.drogariaveracruz.com.br/niquitin-7mg-7-adesivos-transdermicos-transparentes/p,Niquitin 7mg 7 adesivos transdérmicos transparentes,38.27,82.82,121.09
Exeltis,7908134200552,65.44,246.17,https://www.drogariaveracruz.com.br/slinda-4mg-3-blisteres-com-28-comprimidos-revestidos-cada/p,Slinda 4mg 3 blísteres com 28 comprimidos revestidos cada,77.75,233.86,311.61
Merck,7891721201806,4.3,7.65,https://www.drogariaveracruz.com.br/glifage-xr-500mg-30-comprimidos-de-liberacao-prolongada/p,Glifage XR 500mg 30 comprimidos de liberação prolongada,4.68,7.27,11.95
Gsk,7898928257032,27.1,105.34,https://www.drogariaveracruz.com.br/niquitin-21mg-7-adesivos-transdermicos-transparentes/p,Niquitin 21mg 7 adesivos transdérmicos transparentes,32.37,100.07,132.44
Apsen,7896637032209,,88.9,https://www.drogariaveracruz.com.br/suplemento-alimentar-probid-30-capsulas/p,Probid 30 cápsulas,,84.46,
Ems,7896004780511,213.19,29.07,https://www.drogariaveracruz.com.br/rivaroxabana-20mg-ems-30-comprimidos-revestidos/p,Rivaroxabana 20mg EMS 30 comprimidos revestidos,214.64,27.62,242.26
Weleda,7893093016354,7.24,96.26,https://www.drogariaveracruz.com.br/previgrip-weleda-50ml/p,Previgrip Weleda 50ml,12.05,91.45,103.5
Gsk,7898928257025,21.55,105.23,https://www.drogariaveracruz.com.br/niquitin-14mg-7-adesivos-transdermicos-transparentes/p,Niquitin 14mg 7 adesivos transdérmicos transparentes,26.81,99.97,126.78
